Дата,Корпус,Кол-во активных квартир
2023-07-01,"ул. Александра Митинского, д.  6, (ГП-3.1), подъезд 4",1
2023-07-01,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",10
2023-07-01,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",9
2023-07-01,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",10
2023-07-01,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",5
2023-07-01,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",6
2023-07-01,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",65
2023-07-01,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",55
2023-07-01,"ул. Валентины Трофимовой, д. 12, подъезд 1",44
2023-07-01,"ул. Валентины Трофимовой, д. 12, подъезд 2",29
2023-07-01,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 1",5
2023-07-01,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 2",3
2023-07-01,"ул. Валентины Трофимовой, д. 8, подъезд 1",69
2023-07-01,"ул. Валентины Трофимовой, д. 8, подъезд 2",60
2023-07-01,"ул. Монтажников 36, (ГП-4.7), подъезд 1",23
2023-07-01,"ул. Монтажников, д. 38, подъезд 1",42
2023-07-01,"ул. Монтажников, д. 38, подъезд 2",22
2023-07-01,"ул. Монтажников, д. 38, подъезд 3",45
2023-07-01,"ул. Монтажников, д. 40, подъезд 1",68
2023-07-01,"ул. Монтажников, д. 40, подъезд 2",66
2023-07-01,"ул. Монтажников, д. 40, подъезд 3",70
2023-07-01,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",3
2023-07-01,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 2",1
2023-07-01,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1",2
2023-07-01,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",4
2023-07-02,"ул. Александра Митинского, д.  6, (ГП-3.1), подъезд 4",1
2023-07-02,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",10
2023-07-02,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",9
2023-07-02,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",10
2023-07-02,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",5
2023-07-02,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",6
2023-07-02,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",65
2023-07-02,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",55
2023-07-02,"ул. Валентины Трофимовой, д. 12, подъезд 1",44
2023-07-02,"ул. Валентины Трофимовой, д. 12, подъезд 2",29
2023-07-02,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 1",5
